sample_2873|bản thân mình đã quyết định là cần phải thay đổi tại vì
sample_4466|để có thể cũng thay đổi cuộc sống của mình và đồng thời là chia sẻ nhiều hơn đến các bạn
sample_3360|Đây là lúc chúng ta bắt đầu sống thực sự cho bản thân mình
sample_5473|Và mục đích cuối cùng của chúng ta là gì !?
sample_5261|Vậy nên Sun đã đầu tư một chiếc máy lọc nước.
sample_1407|nó cũng tương tự như việc là nếu như bạn đang độc thân
sample_1629|ai rồi cũng sẽ phải kết thúc cái cuộc đời này rồi chết
sample_6900|chúng ta có thể bắt đầu từ những bước đầu tiên
sample_4084|Nhưng mà sáng tạo với Bullet Journal là không có giới hạn,
sample_913|khi mà mình order những cuốn sách ở nước ngoài về nó cũng rất là đắt
sample_5314|thiền cũng giống như việc chúng ta dành thời gian cho bản thân mình vậy, chỉ có một mình
sample_3006|Để chúng ta có thể duy trì được cái lối sống tối giản này lâu dài
sample_5814|Vâng lại esty Tại vì esty  là một cái trang thương mại điện tử rất là lớn đặc biệt lớn nhất về đồ handmade nghĩa là những cái món đồ mà   DIY ,đồ mà nó đặc biệt của cá nhân làm ra
sample_3152|Và chúng ta đang bị lạc trôi trên cái con đường đấy
sample_1798|Lúc đấy chúng ta lại phải chờ thêm thời gian để có thể cắm cơm nữa
sample_1409|có một hạnh phúc tốt đẹp
sample_3187|Trước hết các bạn hãy nhìn lại những món đồ mà mình đang sở hữu.
sample_6658|để mình có thể tặng ông bà, bố mẹ này
sample_6382|có rất là nhiều thứ để chúng ta đang cần phải nỗ lực cần phải cố gắng hơn
sample_246|Khi mình cầm cuốn sách này là mình đã nhớ đến ngay cái hình ảnh đấy
sample_7338|đừng quên like và share video này nhá, hãy ủng hộ Sun bằng cách nhấn nút đỏ và nút  chuông đăng kí cho Channel này
sample_265|Một điều mình khá là bất ngờ đấy chính là về tác giả
sample_1367|"""và mình không thể nào tiếp tục cuộc nói chuyện này."""
sample_6966|mời các bạn uống trà
sample_220|Mình rất là khó để có thể quên được người mới tại vì mình nghĩ là tất cả
